date,title,review,rating,username,helpful_votes,review_length,platform,language,location,version,verified_purchase,no_stopwords,tokens,lemmatized_tokens,processed_text,sentiment,sentiment_encoded
2025-09-06,Management game find.,consumer face pm pay evening performance fly charge wide against win example by just account bed,4,dbolton,138,96,Google Play,en,Qatar,1.3.4,Yes,consumer face pm pay evening performance fly charge wide win example account bed,"['consumer', 'face', 'pm', 'pay', 'evening', 'performance', 'fly', 'charge', 'wide', 'win', 'example', 'account', 'bed']","['consumer', 'face', 'pm', 'pay', 'evening', 'performance', 'fly', 'charge', 'wide', 'win', 'example', 'account', 'bed']",consumer face pm pay evening performance fly charge wide win example account bed,Positive,2
,List race fine follow pick.,form such weight argue simply author consider time economic high actually window research his window east yes current same behind,1,garnerandrea,111,129,Google Play,en,British Virgin Islands,4.2.4,Yes,form weight argue simply author consider time economic high actually window research window east yes current behind,"['form', 'weight', 'argue', 'simply', 'author', 'consider', 'time', 'economic', 'high', 'actually', 'window', 'research', 'window', 'east', 'yes', 'current', 'behind']","['form', 'weight', 'argue', 'simply', 'author', 'consider', 'time', 'economic', 'high', 'actually', 'window', 'research', 'window', 'east', 'yes', 'current', 'behind']",form weight argue simply author consider time economic high actually window research window east yes current behind,Negative,0
2025-07-06,Before peace us young personal art popular.,police cup thought tell design both plan foot cold everybody build smile why ok real read choice side eat,1,martinezjesse,83,105,Google Play,en,Micronesia,3.5.6,Yes,police cup thought tell design plan foot cold everybody build smile ok real read choice side eat,"['police', 'cup', 'thought', 'tell', 'design', 'plan', 'foot', 'cold', 'everybody', 'build', 'smile', 'ok', 'real', 'read', 'choice', 'side', 'eat']","['police', 'cup', 'thought', 'tell', 'design', 'plan', 'foot', 'cold', 'everybody', 'build', 'smile', 'ok', 'real', 'read', 'choice', 'side', 'eat']",police cup thought tell design plan foot cold everybody build smile ok real read choice side eat,Negative,0
,Here control affect task simply draw return.,south just cover ready group care together magazine join far couple cost girl run every story trial never attention choice fast enjoy happen a,2,rlee,135,142,App Store,en,Luxembourg,2.2.2,Yes,south cover ready group care together magazine join far couple cost girl run every story trial never attention choice fast enjoy happen,"['south', 'cover', 'ready', 'group', 'care', 'together', 'magazine', 'join', 'far', 'couple', 'cost', 'girl', 'run', 'every', 'story', 'trial', 'never', 'attention', 'choice', 'fast', 'enjoy', 'happen']","['south', 'cover', 'ready', 'group', 'care', 'together', 'magazine', 'join', 'far', 'couple', 'cost', 'girl', 'run', 'every', 'story', 'trial', 'never', 'attention', 'choice', 'fast', 'enjoy', 'happen']",south cover ready group care together magazine join far couple cost girl run every story trial never attention choice fast enjoy happen,Negative,0
,Guess sea three state.,child executive important focus benefit probably analysis visit condition all blood court all price moment red eight hand paper audience us decade man threat bag song,5,colonjoseph,97,166,Website,en,Armenia,4.9.2,Yes,child executive important focus benefit probably analysis visit condition blood court price moment red eight hand paper audience us decade man threat bag song,"['child', 'executive', 'important', 'focus', 'benefit', 'probably', 'analysis', 'visit', 'condition', 'blood', 'court', 'price', 'moment', 'red', 'eight', 'hand', 'paper', 'audience', 'us', 'decade', 'man', 'threat', 'bag', 'song']","['child', 'executive', 'important', 'focus', 'benefit', 'probably', 'analysis', 'visit', 'condition', 'blood', 'court', 'price', 'moment', 'red', 'eight', 'hand', 'paper', 'audience', 'u', 'decade', 'man', 'threat', 'bag', 'song']",child executive important focus benefit probably analysis visit condition blood court price moment red eight hand paper audience u decade man threat bag song,Positive,2
,Society nearly measure price.,strong back democratic mind big discuss country moment eat personal condition see indeed black police group learn professor third,4,umahoney,163,129,Amazon,en,Mayotte,3.0.7,No,strong back democratic mind big discuss country moment eat personal condition see indeed black police group learn professor third,"['strong', 'back', 'democratic', 'mind', 'big', 'discuss', 'country', 'moment', 'eat', 'personal', 'condition', 'see', 'indeed', 'black', 'police', 'group', 'learn', 'professor', 'third']","['strong', 'back', 'democratic', 'mind', 'big', 'discus', 'country', 'moment', 'eat', 'personal', 'condition', 'see', 'indeed', 'black', 'police', 'group', 'learn', 'professor', 'third']",strong back democratic mind big discus country moment eat personal condition see indeed black police group learn professor third,Positive,2
,Try memory number occur behind.,include plan step food drive nation heart nearly season growth language however risk work other military year few feel develop talk against state ready,5,ikelly,40,151,Google Play,en,Estonia,3.9.4,No,include plan step food drive nation heart nearly season growth language however risk work military year feel develop talk state ready,"['include', 'plan', 'step', 'food', 'drive', 'nation', 'heart', 'nearly', 'season', 'growth', 'language', 'however', 'risk', 'work', 'military', 'year', 'feel', 'develop', 'talk', 'state', 'ready']","['include', 'plan', 'step', 'food', 'drive', 'nation', 'heart', 'nearly', 'season', 'growth', 'language', 'however', 'risk', 'work', 'military', 'year', 'feel', 'develop', 'talk', 'state', 'ready']",include plan step food drive nation heart nearly season growth language however risk work military year feel develop talk state ready,Positive,2
,Indicate test thank dinner present own.,economic eight feel now notice design baby foot lot major together reflect standard organization feel room office bad argue side girl,3,walterscrystal,116,133,Amazon,en,Austria,4.7.1,Yes,economic eight feel notice design baby foot lot major together reflect standard organization feel room office bad argue side girl,"['economic', 'eight', 'feel', 'notice', 'design', 'baby', 'foot', 'lot', 'major', 'together', 'reflect', 'standard', 'organization', 'feel', 'room', 'office', 'bad', 'argue', 'side', 'girl']","['economic', 'eight', 'feel', 'notice', 'design', 'baby', 'foot', 'lot', 'major', 'together', 'reflect', 'standard', 'organization', 'feel', 'room', 'office', 'bad', 'argue', 'side', 'girl']",economic eight feel notice design baby foot lot major together reflect standard organization feel room office bad argue side girl,Neutral,1
,Nice maintain present cultural pattern save east.,american music change maybe determine anything rule hotel knowledge organization measure develop skill challenge from live seat nature energy huge its recently seven,4,adamsrussell,146,165,Amazon,en,Poland,3.4.0,No,american music change maybe determine anything rule hotel knowledge organization measure develop skill challenge live seat nature energy huge recently seven,"['american', 'music', 'change', 'maybe', 'determine', 'anything', 'rule', 'hotel', 'knowledge', 'organization', 'measure', 'develop', 'skill', 'challenge', 'live', 'seat', 'nature', 'energy', 'huge', 'recently', 'seven']","['american', 'music', 'change', 'maybe', 'determine', 'anything', 'rule', 'hotel', 'knowledge', 'organization', 'measure', 'develop', 'skill', 'challenge', 'live', 'seat', 'nature', 'energy', 'huge', 'recently', 'seven']",american music change maybe determine anything rule hotel knowledge organization measure develop skill challenge live seat nature energy huge recently seven,Positive,2
,We unit than star add.,become public interest give fly order agency fight write pattern wrong kind certainly under do rate choose rock beat science,3,torresthomas,2,124,Website,en,Greenland,5.7.4,Yes,become public interest give fly order agency fight write pattern wrong kind certainly rate choose rock beat science,"['become', 'public', 'interest', 'give', 'fly', 'order', 'agency', 'fight', 'write', 'pattern', 'wrong', 'kind', 'certainly', 'rate', 'choose', 'rock', 'beat', 'science']","['become', 'public', 'interest', 'give', 'fly', 'order', 'agency', 'fight', 'write', 'pattern', 'wrong', 'kind', 'certainly', 'rate', 'choose', 'rock', 'beat', 'science']",become public interest give fly order agency fight write pattern wrong kind certainly rate choose rock beat science,Neutral,1
,Ten affect test power discuss herself.,deep national seek nature performance yeah reason property heavy town money eight exist smile peace apply pressure across home even,5,mckeetodd,90,131,Flipkart,en,Nauru,5.4.2,Yes,deep national seek nature performance yeah reason property heavy town money eight exist smile peace apply pressure across home even,"['deep', 'national', 'seek', 'nature', 'performance', 'yeah', 'reason', 'property', 'heavy', 'town', 'money', 'eight', 'exist', 'smile', 'peace', 'apply', 'pressure', 'across', 'home', 'even']","['deep', 'national', 'seek', 'nature', 'performance', 'yeah', 'reason', 'property', 'heavy', 'town', 'money', 'eight', 'exist', 'smile', 'peace', 'apply', 'pressure', 'across', 'home', 'even']",deep national seek nature performance yeah reason property heavy town money eight exist smile peace apply pressure across home even,Positive,2
,Want we difficult.,cost may leader unit again easy morning majority season adult range green few you without every artist election hit,1,penny21,79,115,App Store,en,Saint Lucia,5.5.2,Yes,cost may leader unit easy morning majority season adult range green without every artist election hit,"['cost', 'may', 'leader', 'unit', 'easy', 'morning', 'majority', 'season', 'adult', 'range', 'green', 'without', 'every', 'artist', 'election', 'hit']","['cost', 'may', 'leader', 'unit', 'easy', 'morning', 'majority', 'season', 'adult', 'range', 'green', 'without', 'every', 'artist', 'election', 'hit']",cost may leader unit easy morning majority season adult range green without every artist election hit,Negative,0
2025-05-05,Fish they risk she.,whether partner personal dinner drive check wife travel forget my deal catch range dark catch read together travel involve training show prevent north citizen attack mouth rest,3,tali,83,176,App Store,en,Kenya,2.2.8,No,whether partner personal dinner drive check wife travel forget deal catch range dark catch read together travel involve training show prevent north citizen attack mouth rest,"['whether', 'partner', 'personal', 'dinner', 'drive', 'check', 'wife', 'travel', 'forget', 'deal', 'catch', 'range', 'dark', 'catch', 'read', 'together', 'travel', 'involve', 'training', 'show', 'prevent', 'north', 'citizen', 'attack', 'mouth', 'rest']","['whether', 'partner', 'personal', 'dinner', 'drive', 'check', 'wife', 'travel', 'forget', 'deal', 'catch', 'range', 'dark', 'catch', 'read', 'together', 'travel', 'involve', 'training', 'show', 'prevent', 'north', 'citizen', 'attack', 'mouth', 'rest']",whether partner personal dinner drive check wife travel forget deal catch range dark catch read together travel involve training show prevent north citizen attack mouth rest,Neutral,1
,Clearly difficult impact why.,charge could capital ago worry pay paper partner others reach grow read live maybe painting republican hear system man,5,stephanie33,128,118,Amazon,en,Saudi Arabia,3.7.4,No,charge could capital ago worry pay paper partner others reach grow read live maybe painting republican hear system man,"['charge', 'could', 'capital', 'ago', 'worry', 'pay', 'paper', 'partner', 'others', 'reach', 'grow', 'read', 'live', 'maybe', 'painting', 'republican', 'hear', 'system', 'man']","['charge', 'could', 'capital', 'ago', 'worry', 'pay', 'paper', 'partner', 'others', 'reach', 'grow', 'read', 'live', 'maybe', 'painting', 'republican', 'hear', 'system', 'man']",charge could capital ago worry pay paper partner others reach grow read live maybe painting republican hear system man,Positive,2
2024-08-06,Minute later still.,computer western keep pay reach term into simply part station result hour voice occur movie political,1,richjohn,119,101,Google Play,en,Martinique,2.6.8,No,computer western keep pay reach term simply part station result hour voice occur movie political,"['computer', 'western', 'keep', 'pay', 'reach', 'term', 'simply', 'part', 'station', 'result', 'hour', 'voice', 'occur', 'movie', 'political']","['computer', 'western', 'keep', 'pay', 'reach', 'term', 'simply', 'part', 'station', 'result', 'hour', 'voice', 'occur', 'movie', 'political']",computer western keep pay reach term simply part station result hour voice occur movie political,Negative,0
,Single visit receive career.,newspaper might piece any fact huge similar experience coach family try ready tough less position bed may,1,bmorris,101,105,Google Play,en,Christmas Island,5.1.7,No,newspaper might piece fact huge similar experience coach family try ready tough less position bed may,"['newspaper', 'might', 'piece', 'fact', 'huge', 'similar', 'experience', 'coach', 'family', 'try', 'ready', 'tough', 'less', 'position', 'bed', 'may']","['newspaper', 'might', 'piece', 'fact', 'huge', 'similar', 'experience', 'coach', 'family', 'try', 'ready', 'tough', 'less', 'position', 'bed', 'may']",newspaper might piece fact huge similar experience coach family try ready tough less position bed may,Negative,0
,Information finally shoulder.,to time think bed food possible represent clearly run before relationship plant be risk window partner civil nearly analysis color friend the television class certain shoulder,3,lroberts,149,175,App Store,en,British Indian Ocean Territory (Chagos Archipelago),1.3.7,Yes,time think bed food possible represent clearly run relationship plant risk window partner civil nearly analysis color friend television class certain shoulder,"['time', 'think', 'bed', 'food', 'possible', 'represent', 'clearly', 'run', 'relationship', 'plant', 'risk', 'window', 'partner', 'civil', 'nearly', 'analysis', 'color', 'friend', 'television', 'class', 'certain', 'shoulder']","['time', 'think', 'bed', 'food', 'possible', 'represent', 'clearly', 'run', 'relationship', 'plant', 'risk', 'window', 'partner', 'civil', 'nearly', 'analysis', 'color', 'friend', 'television', 'class', 'certain', 'shoulder']",time think bed food possible represent clearly run relationship plant risk window partner civil nearly analysis color friend television class certain shoulder,Neutral,1
2024-06-02,Project study fear.,whether about she activity marriage material space third down open little improve bag outside each natural people newspaper stay any challenge president already,5,williamsrobert,143,160,Amazon,en,Christmas Island,2.1.7,No,whether activity marriage material space third open little improve bag outside natural people newspaper stay challenge president already,"['whether', 'activity', 'marriage', 'material', 'space', 'third', 'open', 'little', 'improve', 'bag', 'outside', 'natural', 'people', 'newspaper', 'stay', 'challenge', 'president', 'already']","['whether', 'activity', 'marriage', 'material', 'space', 'third', 'open', 'little', 'improve', 'bag', 'outside', 'natural', 'people', 'newspaper', 'stay', 'challenge', 'president', 'already']",whether activity marriage material space third open little improve bag outside natural people newspaper stay challenge president already,Positive,2
2025-07-06,Receive partner body role pick.,particularly reality organization skin concern lay often use behavior follow today star serve successful assume likely business teacher forget including,4,webbhaley,29,152,Flipkart,en,Vietnam,1.4.7,Yes,particularly reality organization skin concern lay often use behavior follow today star serve successful assume likely business teacher forget including,"['particularly', 'reality', 'organization', 'skin', 'concern', 'lay', 'often', 'use', 'behavior', 'follow', 'today', 'star', 'serve', 'successful', 'assume', 'likely', 'business', 'teacher', 'forget', 'including']","['particularly', 'reality', 'organization', 'skin', 'concern', 'lay', 'often', 'use', 'behavior', 'follow', 'today', 'star', 'serve', 'successful', 'assume', 'likely', 'business', 'teacher', 'forget', 'including']",particularly reality organization skin concern lay often use behavior follow today star serve successful assume likely business teacher forget including,Positive,2
2024-06-08,South defense political real effort attack feel.,interview summer employee offer perhaps until pass market role manage conference participant remember without ability agency personal brother summer son yourself increase free,1,katie15,60,175,Website,en,Guam,4.7.5,No,interview summer employee offer perhaps pass market role manage conference participant remember without ability agency personal brother summer son increase free,"['interview', 'summer', 'employee', 'offer', 'perhaps', 'pass', 'market', 'role', 'manage', 'conference', 'participant', 'remember', 'without', 'ability', 'agency', 'personal', 'brother', 'summer', 'son', 'increase', 'free']","['interview', 'summer', 'employee', 'offer', 'perhaps', 'pas', 'market', 'role', 'manage', 'conference', 'participant', 'remember', 'without', 'ability', 'agency', 'personal', 'brother', 'summer', 'son', 'increase', 'free']",interview summer employee offer perhaps pas market role manage conference participant remember without ability agency personal brother summer son increase free,Negative,0
2024-02-01,At chance subject fund heart move.,pattern ahead compare form full public trouble something population loss physical throughout mr leg sport until argue minute north question new affect officer forward trouble,5,ashleyprice,190,174,Flipkart,en,Nauru,1.7.9,No,pattern ahead compare form full public trouble something population loss physical throughout mr leg sport argue minute north question new affect officer forward trouble,"['pattern', 'ahead', 'compare', 'form', 'full', 'public', 'trouble', 'something', 'population', 'loss', 'physical', 'throughout', 'mr', 'leg', 'sport', 'argue', 'minute', 'north', 'question', 'new', 'affect', 'officer', 'forward', 'trouble']","['pattern', 'ahead', 'compare', 'form', 'full', 'public', 'trouble', 'something', 'population', 'loss', 'physical', 'throughout', 'mr', 'leg', 'sport', 'argue', 'minute', 'north', 'question', 'new', 'affect', 'officer', 'forward', 'trouble']",pattern ahead compare form full public trouble something population loss physical throughout mr leg sport argue minute north question new affect officer forward trouble,Positive,2
2025-05-08,Financial force show better word might yeah.,relate fire all including market down later week democratic company hear also dark begin media sometimes toward child future low,3,jennystevens,8,128,Amazon,en,Rwanda,4.7.3,No,relate fire including market later week democratic company hear also dark begin media sometimes toward child future low,"['relate', 'fire', 'including', 'market', 'later', 'week', 'democratic', 'company', 'hear', 'also', 'dark', 'begin', 'media', 'sometimes', 'toward', 'child', 'future', 'low']","['relate', 'fire', 'including', 'market', 'later', 'week', 'democratic', 'company', 'hear', 'also', 'dark', 'begin', 'medium', 'sometimes', 'toward', 'child', 'future', 'low']",relate fire including market later week democratic company hear also dark begin medium sometimes toward child future low,Neutral,1
,Bill my near even wall sound off.,break financial analysis summer the four threat billion she seat against serve fly court everybody five kid brother chance event address performance,1,charlesaustin,175,148,Amazon,en,Guadeloupe,3.0.6,No,break financial analysis summer four threat billion seat serve fly court everybody five kid brother chance event address performance,"['break', 'financial', 'analysis', 'summer', 'four', 'threat', 'billion', 'seat', 'serve', 'fly', 'court', 'everybody', 'five', 'kid', 'brother', 'chance', 'event', 'address', 'performance']","['break', 'financial', 'analysis', 'summer', 'four', 'threat', 'billion', 'seat', 'serve', 'fly', 'court', 'everybody', 'five', 'kid', 'brother', 'chance', 'event', 'address', 'performance']",break financial analysis summer four threat billion seat serve fly court everybody five kid brother chance event address performance,Negative,0
,Like water century time election guy contain.,anything ahead tough anyone himself beat hot relate through picture real pattern fine stage require provide move wind sense letter capital spend turn life lay,2,kristina57,31,158,App Store,en,Libyan Arab Jamahiriya,2.9.0,Yes,anything ahead tough anyone beat hot relate picture real pattern fine stage require provide move wind sense letter capital spend turn life lay,"['anything', 'ahead', 'tough', 'anyone', 'beat', 'hot', 'relate', 'picture', 'real', 'pattern', 'fine', 'stage', 'require', 'provide', 'move', 'wind', 'sense', 'letter', 'capital', 'spend', 'turn', 'life', 'lay']","['anything', 'ahead', 'tough', 'anyone', 'beat', 'hot', 'relate', 'picture', 'real', 'pattern', 'fine', 'stage', 'require', 'provide', 'move', 'wind', 'sense', 'letter', 'capital', 'spend', 'turn', 'life', 'lay']",anything ahead tough anyone beat hot relate picture real pattern fine stage require provide move wind sense letter capital spend turn life lay,Negative,0
2025-06-06,Per nature wind himself future.,little goal leave color should page meet if research blood news audience few leave opportunity,3,bmueller,62,94,Flipkart,en,Mongolia,2.1.8,Yes,little goal leave color page meet research blood news audience leave opportunity,"['little', 'goal', 'leave', 'color', 'page', 'meet', 'research', 'blood', 'news', 'audience', 'leave', 'opportunity']","['little', 'goal', 'leave', 'color', 'page', 'meet', 'research', 'blood', 'news', 'audience', 'leave', 'opportunity']",little goal leave color page meet research blood news audience leave opportunity,Neutral,1
,Serious produce laugh.,name door production back us off main option leg never computer what attorney board sport side her management produce bed stage thought tough,5,peter97,55,141,Flipkart,en,Congo,2.9.0,No,name door production back us main option leg never computer attorney board sport side management produce bed stage thought tough,"['name', 'door', 'production', 'back', 'us', 'main', 'option', 'leg', 'never', 'computer', 'attorney', 'board', 'sport', 'side', 'management', 'produce', 'bed', 'stage', 'thought', 'tough']","['name', 'door', 'production', 'back', 'u', 'main', 'option', 'leg', 'never', 'computer', 'attorney', 'board', 'sport', 'side', 'management', 'produce', 'bed', 'stage', 'thought', 'tough']",name door production back u main option leg never computer attorney board sport side management produce bed stage thought tough,Positive,2
2025-07-03,Image itself deep community cause new.,feel some quickly truth view response trip wrong old particularly identify camera family hard nature apply reflect star grow technology tend dog reduce hour fish,2,mary24,33,161,Website,en,Tunisia,2.1.0,Yes,feel quickly truth view response trip wrong old particularly identify camera family hard nature apply reflect star grow technology tend dog reduce hour fish,"['feel', 'quickly', 'truth', 'view', 'response', 'trip', 'wrong', 'old', 'particularly', 'identify', 'camera', 'family', 'hard', 'nature', 'apply', 'reflect', 'star', 'grow', 'technology', 'tend', 'dog', 'reduce', 'hour', 'fish']","['feel', 'quickly', 'truth', 'view', 'response', 'trip', 'wrong', 'old', 'particularly', 'identify', 'camera', 'family', 'hard', 'nature', 'apply', 'reflect', 'star', 'grow', 'technology', 'tend', 'dog', 'reduce', 'hour', 'fish']",feel quickly truth view response trip wrong old particularly identify camera family hard nature apply reflect star grow technology tend dog reduce hour fish,Negative,0
,Need last green control painting official.,care author administration return main join wrong case south team throw receive us perhaps lawyer,1,jenniferadams,91,97,Flipkart,en,Vanuatu,3.0.2,No,care author administration return main join wrong case south team throw receive us perhaps lawyer,"['care', 'author', 'administration', 'return', 'main', 'join', 'wrong', 'case', 'south', 'team', 'throw', 'receive', 'us', 'perhaps', 'lawyer']","['care', 'author', 'administration', 'return', 'main', 'join', 'wrong', 'case', 'south', 'team', 'throw', 'receive', 'u', 'perhaps', 'lawyer']",care author administration return main join wrong case south team throw receive u perhaps lawyer,Negative,0
,Fine apply gas sing light mention light safe.,happen within nothing relate both loss real center rule worker worker single let model particular early piece professional protect range much,1,zgomez,32,141,App Store,en,French Polynesia,1.1.7,No,happen within nothing relate loss real center rule worker worker single let model particular early piece professional protect range much,"['happen', 'within', 'nothing', 'relate', 'loss', 'real', 'center', 'rule', 'worker', 'worker', 'single', 'let', 'model', 'particular', 'early', 'piece', 'professional', 'protect', 'range', 'much']","['happen', 'within', 'nothing', 'relate', 'loss', 'real', 'center', 'rule', 'worker', 'worker', 'single', 'let', 'model', 'particular', 'early', 'piece', 'professional', 'protect', 'range', 'much']",happen within nothing relate loss real center rule worker worker single let model particular early piece professional protect range much,Negative,0
